,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bonaire,Bosnia and Herzegovina,Botswana,Brazil,British Indian Ocean Territory,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Christmas Island,Cocos (Keeling) Islands,Colombia,Comoros,Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curazao,Cyprus,Czechia,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland Islands,Faroe Islands,Fiji,Finland,France,French Polynesia,French South Antarctic Territory,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norfolk Island,North Korea,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn Islands,Poland,Portugal,Puerto Rico,Qatar,Republic of the Congo,Romania,Russia,Rwanda,Saint Barthelemy,"Saint Helena, Ascension, and Tristan da Cunha",Saint Kitts and Nevis,Saint Lucia,Saint Martin,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,U.S. Virgin Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Wallis and Futuna,Yemen,Zambia,Zimbabwe
Jamaica,East,East,East,West,East,East,East,East,South,East,Southeast,West,East,East,North,East,East,East,East,East,West,East,Northeast,East,South,Southeast,East,East,Southeast,East,East,West,East,East,East,West,East,Northwest,East,Northwest,East,East,South,West,West,East,South,East,Southwest,Southwest,East,East,North,Southeast,East,East,East,Northeast,East,East,East,South,East,West,East,East,East,East,East,South,Northeast,West,Northeast,East,Southwest,Southeast,East,East,East,East,East,East,East,Northeast,East,West,West,Northeast,East,East,Southeast,East,West,West,East,Northeast,East,West,East,East,Northeast,Northeast,East,East,#DIV/0!,West,East,East,East,East,West,East,East,East,East,East,East,Southeast,East,East,East,East,East,West,East,East,East,East,East,East,West,East,East,West,West,East,East,West,East,East,East,East,East,Southeast,West,East,East,West,Southwest,Southwest,East,East,West,West,West,East,West,Northeast,East,East,West,East,South,West,Southeast,South,West,Southwest,East,East,East,East,East,East,West,East,East,Southeast,East,East,East,Northeast,East,West,East,East,East,East,East,East,East,West,East,East,East,West,East,Southeast,West,East,East,East,East,Southeast,Northeast,East,East,West,East,East,East,West,East,West,West,Southeast,East,East,East,Northeast,West,East,East,East,East,Northeast,Northwest,Southeast,East,West,Southeast,West,West,East,East,East
Japan,West,West,West,Southeast,West,West,East,East,Southeast,West,East,South,West,West,East,West,West,East,West,West,East,West,East,West,East,East,West,Southwest,East,Southwest,East,Southwest,West,West,West,Southwest,West,East,West,East,West,West,Southeast,West,Southwest,Southwest,East,Southwest,Southeast,East,West,West,East,East,West,West,West,West,West,East,East,East,West,East,West,West,West,Southwest,West,Southeast,West,Southeast,West,West,Southeast,Southwest,West,West,West,West,West,West,West,East,East,South,East,West,West,West,East,East,East,Southwest,West,West,West,Southwest,West,West,West,West,West,West,East,#DIV/0!,West,West,West,West,Southeast,West,West,West,Southwest,West,West,Southwest,West,West,West,West,West,Southwest,Southwest,Southwest,Southwest,Southwest,West,West,Southeast,West,Southwest,East,Southeast,West,West,West,West,East,West,Southwest,West,Southwest,Southeast,West,West,Southeast,Southeast,East,West,West,Southeast,Southeast,West,West,South,West,West,West,South,West,East,South,East,East,Southwest,Southeast,West,West,East,West,West,West,Northwest,West,East,West,East,East,East,East,East,Southeast,West,West,West,West,West,Southwest,West,Southwest,East,West,West,Southeast,West,Southwest,West,West,West,Southwest,West,East,West,West,West,Southwest,West,West,Southwest,South,West,Southeast,Southeast,East,West,West,West,East,Southeast,East,West,West,West,West,East,East,West,Southeast,East,Southwest,Southeast,West,Southwest,Southwest
Jersey,East,East,South,West,Southeast,South,Southwest,Southwest,Southwest,East,Southwest,Southeast,East,East,West,Southeast,East,Southwest,East,East,West,South,West,East,Southwest,Southwest,East,South,Southwest,Southeast,Southwest,East,East,South,Southeast,East,South,West,Southwest,West,Southeast,Southeast,Southwest,East,Southeast,Southeast,Southwest,Southeast,Southwest,Southwest,South,East,West,Southwest,East,East,Southeast,Northeast,Southeast,Southwest,Southwest,Southwest,Southeast,West,South,Southeast,East,Southeast,Southeast,West,North,West,Northeast,Southeast,Southwest,East,South,South,East,East,South,South,Southeast,Northwest,Southwest,East,West,Northwest,South,South,Southwest,Southwest,West,East,East,Northwest,East,Southeast,East,East,Northwest,Northwest,Southeast,Southeast,West,East,#DIV/0!,Southeast,East,Southeast,West,East,East,East,East,East,East,South,South,Southeast,East,East,East,East,Southeast,Southeast,Southeast,Southeast,South,Southeast,East,South,Southeast,West,East,East,Southeast,East,East,Southwest,South,Southeast,East,South,East,East,East,Southeast,East,Southwest,South,South,West,Southeast,East,East,East,Northeast,Southeast,East,East,Southeast,Southwest,East,Southwest,Southwest,East,Southwest,East,Southwest,Southwest,Southeast,South,East,East,Southeast,Southwest,South,Southwest,Southwest,Southwest,West,Southwest,West,East,South,Southeast,South,East,Southeast,South,Southeast,Southwest,East,East,East,Southeast,South,East,Southeast,South,Southeast,Southeast,Southwest,Northeast,East,East,East,East,Southeast,East,Southeast,South,West,West,Southwest,Southeast,East,East,West,East,Southwest,Southeast,East,Southeast,North,West,Southwest,East,East,Southwest,East,West,Southeast,Southeast,Southeast
Jordan,East,Northwest,West,East,West,Southwest,West,West,Southwest,Northeast,West,Southeast,Northwest,Northeast,West,East,East,West,North,Northwest,West,Southwest,West,East,Southwest,West,Northwest,South,Southwest,Southeast,West,East,Northwest,Southwest,South,East,Southwest,West,West,West,Southwest,Southwest,Southwest,East,Southeast,Southeast,West,South,East,West,Southwest,Northwest,West,West,Northwest,Northwest,Southwest,Northwest,South,West,West,West,Southwest,West,Southwest,South,North,South,South,Southwest,Northwest,East,North,Northwest,East,Southeast,Southwest,West,Northeast,Northwest,Southwest,West,Northwest,Northwest,West,East,West,Northwest,Southwest,West,West,West,West,East,Northwest,Northwest,East,East,East,East,Northwest,Northwest,West,Northwest,West,East,Northwest,#DIV/0!,Northeast,South,East,Northwest,East,East,East,Northwest,North,South,Southwest,West,Northwest,Northwest,Northwest,East,South,South,East,Southeast,West,West,East,West,Southeast,West,East,Northwest,Northwest,East,Northwest,West,West,South,East,South,East,East,Northwest,East,Southeast,West,Southwest,Southwest,East,Southeast,East,Northwest,East,Northwest,Southeast,East,East,Northwest,West,East,Southwest,West,East,West,Northwest,West,West,East,Southwest,Northwest,Northeast,South,West,Southwest,West,West,West,West,West,East,Northwest,Southwest,Southeast,West,Northwest,Southeast,Southwest,Southeast,West,Northwest,Northwest,East,South,South,East,South,West,Southeast,South,West,Northwest,Northwest,Northeast,East,East,South,East,Southeast,Southwest,East,East,West,West,North,East,West,East,West,South,North,East,Northwest,West,Southwest,East,East,West,East,East,Southeast,South,South
Kazakhstan,South,West,West,Southeast,West,Southwest,West,West,Southwest,West,West,Southeast,West,West,West,Southwest,Southeast,West,West,West,West,Southwest,West,Southeast,Southwest,West,West,Southwest,Southwest,South,West,Southeast,West,Southwest,Southwest,Southeast,Southwest,West,West,West,Southwest,Southwest,Southwest,East,Southeast,Southeast,West,South,Southeast,West,Southwest,West,West,West,West,West,Southwest,West,Southwest,West,West,West,Southwest,West,Southwest,Southwest,West,Southwest,Southwest,West,West,Southeast,West,West,Southeast,South,Southwest,Southwest,West,West,Southwest,West,West,West,West,Southeast,West,West,Southwest,Southwest,West,West,West,Southeast,West,West,Southeast,Southeast,Southwest,Southwest,West,West,Southwest,West,West,East,West,Southwest,#DIV/0!,Southwest,East,West,Southwest,Southeast,Southeast,West,Southwest,Southwest,Southwest,Southwest,West,West,West,Southeast,South,Southwest,Southeast,South,Southwest,West,East,West,South,West,Southeast,West,West,East,West,West,West,Southwest,Southeast,Southwest,Southeast,Southeast,West,Southeast,Southeast,West,Southwest,Southwest,Southeast,Southeast,East,West,East,West,Southwest,South,Southeast,Southwest,West,Southeast,Southwest,West,Southeast,Southeast,West,West,West,Southwest,Southwest,West,East,Southwest,West,Southwest,West,West,West,West,West,Southeast,West,Southwest,Southwest,West,West,South,Southwest,Southeast,West,West,West,Southeast,Southwest,Southwest,East,Southwest,West,South,Southwest,West,West,West,Southwest,Southeast,Southeast,Southwest,Southeast,Southeast,Southwest,Southeast,Southeast,West,West,West,Southwest,West,Southeast,West,Southwest,West,Southwest,West,West,Southwest,South,Southeast,West,Southeast,Southeast,Southwest,Southwest,Southwest
Kenya,Northeast,Northwest,Northwest,East,Northwest,Southwest,West,West,West,North,West,East,Northwest,North,West,Northeast,Northeast,West,North,Northwest,West,West,West,Northeast,West,West,Northwest,Southwest,West,East,West,East,North,West,Southwest,East,West,West,West,West,West,Northwest,West,Northeast,East,East,West,Southeast,East,West,West,Northwest,West,West,North,Northwest,West,Northwest,North,West,West,West,North,West,West,North,North,South,North,Southwest,Northwest,East,North,Northwest,East,Southeast,West,West,North,Northwest,West,Northwest,North,Northwest,West,East,West,Northwest,West,West,West,West,West,East,North,Northwest,Northeast,East,Northeast,North,Northwest,Northwest,North,Northwest,West,East,Northwest,North,Northeast,#DIV/0!,East,North,North,Northeast,East,North,North,South,West,Northwest,Northwest,North,Northwest,East,Southeast,South,East,East,Northwest,Northwest,East,Northwest,Southeast,West,East,North,Northwest,Northeast,Northwest,West,Northwest,South,East,Southwest,East,Northeast,Northwest,East,East,West,Northwest,West,East,East,Northeast,North,East,Northwest,Northeast,Northeast,East,North,West,East,West,West,East,West,North,Northwest,West,Northeast,West,North,Northeast,West,West,Southwest,West,West,West,Northwest,West,East,Northwest,West,North,West,North,East,West,East,West,North,Northwest,East,Northeast,Southwest,East,Northwest,Northwest,East,Northwest,West,North,Northwest,North,East,Northeast,Southwest,East,East,West,East,East,West,Northwest,North,Northeast,West,East,West,West,North,Northeast,Northwest,West,West,Northeast,East,West,East,East,Northeast,Southwest,Southwest
Kiribati,West,West,East,South,East,West,East,East,East,West,East,West,West,West,East,West,West,East,West,East,East,East,East,West,East,East,West,West,East,West,East,West,West,East,West,West,West,Northeast,East,East,West,West,East,Northwest,West,West,East,West,Southeast,East,East,West,East,East,West,West,West,East,West,East,East,East,West,East,East,West,West,West,West,Southeast,East,Southwest,West,East,Southeast,West,West,East,West,East,East,East,West,Northeast,East,West,East,East,East,East,East,East,East,West,West,Northeast,West,West,West,West,East,East,West,West,East,Northwest,East,West,West,West,#DIV/0!,West,West,West,West,West,West,West,East,West,East,West,East,West,West,West,West,West,East,West,Northwest,East,West,East,West,West,East,Northwest,West,East,East,West,West,West,West,West,East,Southwest,Southwest,East,East,East,South,Southwest,Northwest,West,Northwest,East,West,West,West,West,East,West,East,East,West,Southeast,West,East,East,West,West,West,Northwest,West,East,East,East,East,East,Northeast,East,South,West,East,West,East,West,West,East,West,East,West,West,West,West,West,Northwest,West,East,West,West,East,West,East,West,West,West,West,West,West,East,Southwest,South,East,East,West,West,East,West,East,West,West,West,East,Northeast,East,West,Southwest,East,West,Southwest,West,West,West
Kosovo,East,Southwest,Southwest,East,West,South,West,West,Southwest,East,West,Southeast,Northwest,East,West,Southeast,East,West,Northeast,Northwest,West,Southwest,West,East,Southwest,West,West,South,Southwest,Southeast,West,East,East,Southwest,South,East,South,West,Southwest,West,South,South,Southwest,East,Southeast,Southeast,West,Southeast,East,West,Southwest,Northwest,West,West,Southeast,Northwest,South,Northwest,Southeast,West,West,Southwest,Southeast,West,South,Southeast,North,South,Southeast,West,Northwest,East,North,West,West,East,South,Southwest,East,Northwest,Southwest,West,South,Northwest,West,East,West,West,Southwest,Southwest,Southwest,West,West,East,North,Northwest,East,Southeast,East,East,West,Northwest,Southeast,West,West,East,West,Southeast,East,South,East,#DIV/0!,Southeast,East,East,North,Southeast,South,Southwest,South,West,North,Northwest,East,Southeast,South,Southeast,Southeast,Southwest,Southwest,East,Southwest,Southeast,West,East,Northeast,West,East,West,West,West,South,East,South,East,East,Northwest,Southeast,Southeast,West,Southwest,South,East,Southeast,East,Southeast,East,Northwest,Southeast,East,East,Southeast,West,East,Southwest,Southwest,East,Southwest,North,West,West,Southeast,South,Northeast,East,South,West,Southwest,West,West,West,West,West,East,West,South,Southeast,Southwest,North,Southeast,Southwest,Southeast,West,North,Northwest,East,Southeast,South,East,South,West,Southeast,South,Southwest,North,West,Southeast,East,East,South,East,Southeast,Southwest,East,East,West,Southwest,East,East,West,East,West,South,Northeast,Southeast,Northwest,West,Southwest,East,East,West,East,East,Southeast,South,South
Kuwait,East,Northwest,West,East,West,Southwest,West,West,Southwest,North,West,Southeast,Northwest,North,West,Southeast,East,West,Northwest,Northwest,West,Southwest,West,East,West,West,Northwest,Southwest,Southwest,Southeast,West,East,Northwest,West,Southwest,East,Southwest,West,West,West,Southwest,Southwest,Southwest,East,Southeast,Southeast,West,South,East,West,West,Northwest,West,West,West,Northwest,Southwest,Northwest,South,West,West,West,West,West,Southwest,Southwest,Northwest,South,South,Southwest,Northwest,East,Northwest,West,East,South,Southwest,West,North,Northwest,Southwest,West,West,Northwest,West,East,West,West,West,West,West,West,West,East,Northwest,Northwest,East,Southeast,Northeast,Northwest,Northwest,Northwest,West,West,West,East,West,West,Northeast,South,East,Northwest,#DIV/0!,Northeast,East,Northwest,West,South,West,West,Northwest,Northwest,Northwest,East,South,South,Southeast,Southeast,West,West,East,West,South,West,East,Northwest,West,East,Northwest,West,West,South,East,Southwest,East,East,Northwest,Southeast,Southeast,West,West,Southwest,East,Southeast,East,Northwest,East,Northwest,Southeast,East,East,West,West,East,Southwest,West,East,West,Northwest,West,West,Southeast,Southwest,Northwest,Northeast,Southwest,West,Southwest,West,West,West,West,West,East,Northwest,Southwest,Southwest,West,Northwest,South,West,Southeast,West,Northwest,Northwest,East,South,South,East,Southwest,West,Southeast,Southwest,West,Northwest,Northwest,Northwest,East,East,South,East,Southeast,Southwest,East,East,West,West,Northwest,Northeast,West,East,West,Southwest,Northwest,Southeast,Northwest,West,Southwest,Northeast,East,West,East,East,South,Southwest,South
Kyrgyzstan,Southwest,West,West,Southeast,West,Southwest,West,West,Southwest,West,West,Southeast,West,West,West,Southwest,Southeast,West,West,West,West,Southwest,West,Southeast,Southwest,West,West,Southwest,Southwest,South,West,Southeast,West,West,Southwest,Southeast,Southwest,East,West,West,Southwest,Southwest,Southwest,East,Southeast,South,West,Southwest,Southeast,West,Southwest,West,West,West,West,West,Southwest,West,Southwest,West,West,West,West,West,Southwest,Southwest,West,Southwest,Southwest,West,West,Southeast,Northwest,West,Southeast,West,Southwest,West,West,West,Southwest,West,West,West,West,East,West,West,West,West,West,West,West,Southeast,West,West,South,Southeast,Southwest,West,West,West,West,West,West,East,West,West,Northwest,Southwest,East,West,Southwest,#DIV/0!,Southeast,West,West,Southwest,West,West,West,West,West,Southeast,Southwest,Southwest,Southeast,South,West,West,East,West,South,West,Southeast,West,West,East,West,West,West,Southwest,Southeast,Southwest,Southeast,Southeast,West,Southeast,Southeast,West,West,Southwest,Southeast,Southeast,East,West,East,West,Southwest,Southwest,Southeast,West,West,Southeast,Southwest,West,Southeast,Southeast,West,West,West,Southwest,Southwest,West,Northeast,Southwest,West,Southwest,West,West,West,West,West,Southeast,West,Southwest,Southwest,West,West,Southwest,West,Southeast,West,West,West,Southeast,Southwest,Southwest,East,Southwest,West,South,Southwest,West,West,West,West,East,Southwest,Southwest,Southeast,Southeast,Southwest,Southeast,Southeast,West,West,West,West,West,Southeast,West,Southwest,West,Southwest,West,West,Southwest,West,Southeast,West,Southeast,Southeast,Southwest,Southwest,Southwest
Laos,West,West,West,East,West,West,West,West,West,West,West,Southeast,West,West,West,West,West,West,Northwest,West,East,West,West,Northwest,West,West,West,Southwest,West,Southwest,West,Southeast,West,West,West,South,West,East,West,East,West,West,West,North,South,South,West,Southwest,Southeast,East,West,West,East,West,West,West,West,West,West,West,West,East,West,East,West,West,Northwest,Southwest,West,Southwest,West,Southeast,Northwest,West,East,Southwest,West,West,West,West,West,West,West,West,West,East,East,West,West,West,West,West,East,East,West,West,West,Southeast,West,West,West,West,West,West,West,Northeast,West,West,Northwest,West,East,West,West,Northwest,#DIV/0!,Northwest,West,Southwest,West,West,West,Northwest,West,East,Southwest,Southwest,South,Southwest,West,West,East,West,Southwest,East,East,West,West,North,West,West,West,Southwest,West,Southwest,East,Northwest,West,Southeast,Southeast,East,West,West,Southeast,Southeast,Northeast,West,East,Northwest,West,West,East,West,East,Southeast,West,West,East,East,West,West,West,West,West,West,North,West,West,West,West,West,West,West,West,East,West,West,West,West,West,Southwest,West,South,West,West,West,Southeast,West,Southwest,Northeast,West,West,Southwest,West,West,Northwest,West,West,East,Northwest,West,South,Southeast,West,East,Southeast,West,West,West,Northwest,West,East,West,West,West,West,West,East,West,Northwest,Southeast,West,Southeast,Southeast,West,Southwest,Southwest
Latvia,Southeast,South,Southwest,Southeast,Southwest,South,Southwest,Southwest,West,Southeast,Southwest,Southeast,Southwest,Southeast,West,Southeast,Southeast,Southwest,Southeast,West,West,Southwest,West,Southeast,Southwest,Southwest,Southwest,South,Southwest,Southeast,Southwest,Southeast,South,Southwest,South,Southeast,South,West,Southwest,West,South,South,West,East,Southeast,Southeast,Southwest,South,Southeast,Southwest,Southwest,Southwest,West,Southwest,South,Southwest,South,West,South,Southwest,West,Southwest,South,West,South,South,North,South,South,West,West,Southeast,North,Southwest,Southwest,East,South,Southwest,Southeast,West,Southwest,Southwest,South,West,Southwest,East,West,West,Southwest,Southwest,Southwest,West,West,East,Southwest,West,Southeast,Southeast,Southeast,Southeast,West,West,South,Southwest,West,East,West,Southeast,East,South,East,South,Southeast,East,Southeast,#DIV/0!,Southeast,South,Southwest,South,Southwest,Southwest,West,East,South,South,Southeast,Southeast,Southwest,Southwest,East,Southwest,Southeast,West,East,South,Southwest,East,South,Southwest,Southwest,South,Southeast,South,East,Southeast,West,Southeast,East,West,Southwest,South,Southeast,Southeast,East,South,East,West,Southeast,Southeast,Southeast,Southeast,Southwest,Southeast,Southwest,Southwest,Southeast,Southwest,Southwest,Southwest,Southwest,Southeast,South,South,East,South,Southwest,Southwest,Southwest,Southwest,Southwest,West,Southwest,Southeast,Southwest,South,Southeast,Southwest,South,Southeast,Southwest,Southeast,Southwest,Southwest,Southwest,Southeast,Southeast,South,East,South,Southwest,Southeast,South,Southwest,Northwest,Southwest,Southeast,East,East,South,Southeast,Southeast,Southwest,East,Southeast,Southwest,Southwest,Southeast,Southeast,West,Southeast,Southwest,South,Southeast,Southeast,West,West,Southwest,East,Southeast,Southwest,Southeast,Southeast,Southeast,South,South
Lebanon,East,Northwest,West,East,West,South,West,West,Southwest,Northeast,West,Southeast,Northwest,Northeast,West,Southeast,East,West,North,Northwest,West,Southwest,West,East,Southwest,West,Northwest,South,Southwest,Southeast,West,East,Northwest,Southwest,South,East,Southwest,West,West,West,Southwest,Southwest,Southwest,East,Southeast,Southeast,West,South,East,West,Southwest,Northwest,West,West,Northwest,Northwest,South,Northwest,South,West,West,West,Southwest,West,Southwest,South,Northwest,South,South,Southwest,Northwest,East,North,West,East,South,Southwest,West,Northeast,Northwest,Southwest,West,West,Northwest,West,East,West,West,Southwest,Southwest,West,West,West,East,Northwest,Northwest,East,Southeast,East,East,Northwest,Northwest,South,West,West,East,West,South,Northeast,South,East,Northwest,East,East,East,Northwest,#DIV/0!,South,Southwest,West,Northwest,Northwest,Northwest,East,South,South,Southeast,Southeast,West,West,East,West,South,West,East,Northwest,West,East,Northwest,West,West,South,East,South,East,East,Northwest,Southeast,Southeast,West,Southwest,Southwest,East,Southeast,East,Northwest,East,Northwest,Southeast,East,East,South,West,East,Southwest,West,East,West,Northwest,West,West,Southeast,Southwest,Northwest,East,South,West,Southwest,West,West,West,West,West,East,Northwest,Southwest,Southeast,West,Northwest,Southeast,Southwest,Southeast,West,Northwest,Northwest,East,South,South,East,South,West,Southeast,South,West,Northwest,Northwest,East,East,East,South,East,Southeast,Southwest,East,East,West,West,North,East,West,East,West,South,North,Southeast,Northwest,West,Southwest,East,East,West,East,East,Southeast,South,South
Lesotho,Northeast,North,Northwest,East,North,Northwest,Northwest,Northwest,West,North,Northwest,East,North,North,Northwest,North,Northeast,Northwest,North,North,West,Northwest,Northwest,Northeast,West,Northwest,North,Northwest,West,Northeast,Northwest,East,North,Northwest,North,Northeast,Northwest,Northwest,Northwest,Northwest,North,North,West,Northeast,East,East,West,Northeast,East,West,Northwest,North,Northwest,Northwest,North,North,North,North,North,Northwest,Northwest,West,North,West,Northwest,North,North,Northeast,North,West,West,East,Northwest,North,West,Southeast,Northwest,Northwest,North,North,Northwest,Northwest,North,West,Northwest,East,West,North,Northwest,Northwest,West,Northwest,West,Northeast,North,West,Northeast,East,North,North,Northwest,North,North,North,Northwest,Northeast,North,North,Northeast,North,East,North,North,Northeast,Northeast,North,North,#DIV/0!,Northwest,North,North,North,North,Northeast,Northeast,North,Northeast,Northeast,Northwest,North,East,Northwest,East,West,East,North,North,Northeast,North,Northwest,Northwest,Northeast,Northeast,Northwest,East,Northeast,North,East,East,West,Northwest,Northwest,East,East,Northeast,North,East,West,Northeast,Northeast,East,North,West,East,West,West,Northeast,West,North,Northwest,Northwest,Northeast,Northwest,North,East,North,Northwest,West,Northwest,Northwest,Northwest,Northwest,Northwest,East,North,Northwest,North,Northwest,North,Northeast,Northwest,East,Northwest,North,North,East,Northeast,West,Northeast,North,Northwest,Northeast,North,West,North,North,North,Northeast,Northeast,North,Northeast,East,Northwest,East,East,Northwest,North,North,Northeast,Northwest,East,Northwest,North,North,Northeast,North,Northwest,West,Northeast,East,West,Northeast,East,Northeast,North,North
Liberia,East,Northeast,Northeast,West,North,Southeast,West,West,Southwest,Northeast,West,East,Northeast,Northeast,West,East,East,West,Northeast,North,West,East,Northwest,East,Southwest,West,Northeast,Southeast,Southwest,East,West,East,Northeast,Northeast,East,East,East,Northwest,Northwest,West,East,East,Southwest,East,East,East,West,East,West,West,East,Northeast,West,West,Northeast,Northeast,East,North,East,West,West,West,Northeast,West,East,East,Northeast,Southeast,East,Southwest,North,West,Northeast,North,West,Southeast,East,Northwest,Northeast,Northeast,East,North,Northeast,Northwest,West,East,West,North,North,Northwest,West,West,West,East,Northeast,North,East,East,East,Northeast,North,North,Northeast,Northeast,West,East,North,Northeast,Northeast,East,West,Northeast,East,East,East,Northeast,Northeast,Southeast,#DIV/0!,Northeast,Northeast,Northeast,North,East,Southeast,Southeast,East,East,Northeast,Northeast,West,North,East,West,East,Northeast,Northeast,East,Northeast,West,North,Southeast,East,Southeast,East,East,North,East,West,West,Northeast,East,West,East,East,Northeast,East,North,East,East,East,Northeast,West,East,Southwest,West,East,West,Northeast,North,West,East,East,Northeast,Northeast,East,West,South,West,West,West,Northwest,West,West,Northeast,East,East,Northwest,Northeast,East,Northwest,East,West,Northeast,Northeast,East,East,Southeast,East,East,North,East,East,West,Northeast,Northeast,Northeast,East,East,East,East,East,East,West,West,West,Northeast,Northeast,Northeast,West,West,West,East,Northeast,East,North,West,Southwest,Northeast,East,West,East,West,East,Southeast,Southeast
Libya,East,North,West,East,Northwest,South,West,West,Southwest,Northeast,West,Southeast,North,Northeast,West,East,East,West,North,Northwest,West,Southwest,West,East,Southwest,West,North,South,Southwest,Southeast,West,East,Northeast,Southwest,Southeast,East,South,West,West,West,South,South,Southwest,East,Southeast,Southeast,West,Southeast,West,West,Southwest,North,West,West,Northeast,North,South,North,Southeast,West,West,West,East,West,South,Southeast,North,South,Southeast,Southwest,Northwest,East,North,Northwest,West,Southeast,South,West,Northeast,North,Southwest,Northwest,North,Northwest,West,East,West,Northwest,Southwest,Southwest,West,West,West,East,North,Northwest,East,East,East,East,Northwest,Northwest,East,North,West,East,Northwest,East,Northeast,Southeast,East,North,East,East,East,North,East,South,Southwest,#DIV/0!,North,North,Northwest,East,Southeast,Southeast,East,East,West,North,East,West,Southeast,West,East,Northeast,Northwest,East,North,West,West,South,East,South,East,East,Northwest,East,Southeast,West,Southwest,Southwest,East,East,East,North,East,North,East,East,East,East,West,East,Southwest,West,East,West,North,Northwest,West,East,South,North,East,Southeast,West,Southwest,West,West,West,West,West,East,North,South,East,West,North,Southeast,Southwest,East,West,North,North,East,Southeast,South,East,Southeast,Northwest,East,Southeast,West,North,Northwest,East,East,East,Southeast,East,East,Southwest,East,East,West,Northwest,Northeast,East,West,East,West,Southeast,Northeast,East,Northwest,West,Southwest,East,East,West,East,East,East,South,South
Liechtenstein,East,Southeast,South,West,Southwest,South,West,Southwest,Southwest,East,Southwest,Southeast,East,East,West,Southeast,East,Southwest,East,Northwest,West,South,West,East,Southwest,Southwest,East,South,Southwest,Southeast,West,East,East,South,South,East,South,West,Southwest,West,South,South,Southwest,East,Southeast,Southeast,Southwest,Southeast,West,West,South,East,West,Southwest,Southeast,Northeast,South,North,Southeast,Southwest,West,Southwest,Southeast,West,South,Southeast,Northeast,South,Southeast,West,Northwest,East,Northeast,West,West,East,South,Southwest,East,North,South,Southwest,Southeast,Northwest,Southwest,East,West,West,Southwest,Southwest,Southwest,West,West,East,East,Northwest,East,Southeast,East,East,West,Northwest,Southeast,Southeast,West,East,West,Southeast,East,Southeast,West,East,Southeast,East,East,Northeast,Southeast,South,Southwest,South,#DIV/0!,Northeast,Northwest,East,Southeast,South,Southeast,Southeast,Southwest,Southeast,East,Southwest,Southeast,West,East,East,Southwest,East,Southeast,Southwest,Southwest,South,East,South,East,East,Northwest,Southeast,Southeast,West,South,South,West,Southeast,East,Southeast,East,North,Southeast,East,East,Southeast,Southwest,East,Southwest,Southwest,East,Southwest,Northeast,Southwest,West,Southeast,South,East,East,South,West,South,West,Southwest,West,West,Southwest,East,Southeast,South,Southeast,Southwest,East,Southeast,Southwest,Southeast,West,East,East,East,Southeast,South,East,Southeast,Southwest,Southeast,Southeast,Southwest,Northeast,West,Southeast,East,East,Southeast,East,Southeast,South,East,East,Southwest,South,East,East,West,East,West,Southeast,East,Southeast,Northwest,West,Southwest,East,East,Southwest,East,East,Southeast,South,South
